French,English
pensais,thought
aide,help
demande,request
genre,kind
mois,month
laisser,let
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
corps,body
endroit,place
yeux,eyes
dont,whose
main,hand
première,first
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
mari,husband
espère,hope
eau,water
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
croire,believe
plutôt,rather
filles,girls
jouer,to play
bureau,office
